,#,Jugadores,Min,Pts,TC,2 Pts,3 Pts,TL,REBO,REBD,REB,AST,FP,TO,ROB,BLQ,+/-,EFF,TCc,TCi,2Pc,2Pi,3Pc,3Pi,TLc,TLi,game,Res,PTS_OPP,TCi_OPP,TCc_OPP,2Pi_OPP,2Pc_OPP,3Pi_OPP,3Pc_OPP,TLi_OPP,TLc_OPP,RO_OPP,RD_OPP,AST_OPP,TO_OPP,ROB_OPP,FP_OPP
13,Totales,Líbano,200,94.0,29/58  50%,13/26  50%,16/32  50%,20/25  80%,9.0,28.0,37.0,25.0,17.0,14.0,3.0,4.0,10,113,29.0,58.0,13.0,26.0,16.0,32.0,20.0,25.0,/es/basketballworldcup/2023/game/3108/Cote-d-Ivoire-Lebanon,1.0,84.0,67.0,30.0,39.0,21.0,28.0,9.0,17.0,15.0,10.0,22.0,24.0,9.0,9.0,19.0
13,Totales,Japón,200,86.0,29/70  41.4%,17/35  48.6%,12/35  34.3%,16/18  88.9%,9.0,28.0,37.0,19.0,14.0,13.0,7.0,2.0,9,92,29.0,70.0,17.0,35.0,12.0,35.0,16.0,18.0,/es/basketballworldcup/2023/game/3108/Japón-Venezuela,1.0,77.0,72.0,31.0,33.0,21.0,39.0,10.0,8.0,5.0,13.0,33.0,26.0,19.0,11.0,22.0
13,Totales,Venezuela,200,77.0,31/72  43.1%,21/33  63.6%,10/39  25.6%,5/8  62.5%,13.0,33.0,46.0,26.0,22.0,19.0,11.0,2.0,-9,95,31.0,72.0,21.0,33.0,10.0,39.0,5.0,8.0,/es/basketballworldcup/2023/game/3108/Japón-Venezuela,0.0,86.0,70.0,29.0,35.0,17.0,35.0,12.0,18.0,16.0,9.0,28.0,19.0,13.0,7.0,14.0
13,Totales,Sudán del Sur,200,87.0,31/76  40.8%,19/43  44.2%,12/33  36.4%,13/15  86.7%,11.0,35.0,46.0,25.0,14.0,9.0,7.0,4.0,19,112,31.0,76.0,19.0,43.0,12.0,33.0,13.0,15.0,/es/basketballworldcup/2023/game/3108/Sudán-del-Sur-Filipinas,1.0,68.0,74.0,26.0,42.0,16.0,32.0,10.0,13.0,6.0,15.0,33.0,15.0,15.0,6.0,16.0
13,Totales,Filipinas,200,68.0,26/74  35.1%,16/42  38.1%,10/32  31.2%,6/13  46.2%,15,33,48,15.0,16,15,6.0,7.0,-19.0,70.0,26.0,74.0,16.0,42.0,10.0,32.0,6.0,13.0,/es/basketballworldcup/2023/game/3108/Sudán-del-Sur-Filipinas,0.0,87.0,76.0,31.0,43.0,19.0,33.0,12.0,15.0,13.0,11.0,35.0,25.0,9.0,7.0,14.0
13,Totales,Egipto,200,85.0,31/66  47%,25/47  53.2%,6/19  31.6%,17/23  73.9%,17.0,29.0,46.0,17.0,14.0,17.0,12.0,5.0,16,102,31.0,66.0,25.0,47.0,6.0,19.0,17.0,23.0,/es/basketballworldcup/2023/game/3108/Egypt-Jordan,1.0,69.0,62.0,26.0,33.0,15.0,29.0,11.0,8.0,6.0,8.0,23.0,14.0,18.0,6.0,19.0
13,Totales,Jordania,200,69.0,26/62  41.9%,15/33  45.5%,11/29  37.9%,6/8  75%,8.0,23.0,31.0,14.0,19.0,18.0,6.0,5.0,-16,66,26.0,62.0,15.0,33.0,11.0,29.0,6.0,8.0,/es/basketballworldcup/2023/game/3108/Egypt-Jordan,0.0,85.0,66.0,31.0,47.0,25.0,19.0,6.0,23.0,17.0,17.0,29.0,17.0,17.0,12.0,14.0
13,Totales,Francia,200,82.0,34/60  56.7%,27/39  69.2%,7/21  33.3%,7/17  41.2%,14.0,27.0,41.0,24.0,13.0,12.0,5.0,5.0,27,109,34.0,60.0,27.0,39.0,7.0,21.0,7.0,17.0,/es/basketballworldcup/2023/game/3108/France-Iran,1.0,55.0,65.0,20.0,33.0,12.0,32.0,8.0,11.0,7.0,17.0,19.0,16.0,13.0,6.0,19.0
13,Totales,Irán,200,55.0,20/65  30.8%,12/33  36.4%,8/32  25%,7/11  63.6%,17.0,19.0,36.0,16.0,19.0,13.0,6.0,1.0,-27,52,20.0,65.0,12.0,33.0,8.0,32.0,7.0,11.0,/es/basketballworldcup/2023/game/3108/France-Iran,0.0,82.0,60.0,34.0,39.0,27.0,21.0,7.0,17.0,7.0,14.0,27.0,24.0,12.0,5.0,13.0
13,Totales,Serbia,200,76.0,21/58  36.2%,14/27  51.9%,7/31  22.6%,27/32  84.4%,9.0,25.0,34.0,15.0,19.0,11.0,7.0,4.0,-2,81,21.0,58.0,14.0,27.0,7.0,31.0,27.0,32.0,/es/basketballworldcup/2023/game/0109/Serbia-Italy,0.0,78.0,60.0,28.0,39.0,17.0,21.0,11.0,15.0,11.0,8.0,28.0,19.0,15.0,3.0,27.0
