,id,Equipo,Quinteto,PTS,FGm,FGa,2Pm,2Pa,3Pm,3Pa,1Pm,1Pa,RO,RD,RT,AST,PER,REC,BLQ,POSS,PLAYS,PJ
1,/es/basketballworldcup/2023/game/2708/Lebanon-Canada,Canadá,"['Shai Gilgeous-Alexander', 'Dwight Powell', 'RJ  Barrett', 'Kelly Olynyk', 'Dillon Brooks']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,/es/basketballworldcup/2023/game/2708/Philippines-Angola,Filipinas,"['Jordan Clarkson', 'Scottie Thompson', 'June Mar Fajardo', 'Dwight Ramos', 'Ariel John Edu']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,/es/basketballworldcup/2023/game/2708/Philippines-Angola,Angola,"['Eduardo Francisco', 'Gerson Goncalves', 'Childe Dundao', 'Jilson Bango', 'Bruno Fernando']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,/es/basketballworldcup/2023/game/2708/Japan-Finland,Japón,"['Yuki Togashi', 'Yuta Watanabe', 'Yudai Baba', 'Joshua Hawkinson', 'Shuta Hara']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,/es/basketballworldcup/2023/game/2708/Japan-Finland,Finlandia,"['Sasu Salin', 'Olivier Nkamhoua', 'Mikael Jantunen', 'Edon Maxhuni', 'Lauri Markkanen']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,/es/basketballworldcup/2023/game/2708/Lituania-México,Lituania,"['Margiris Normantas', 'Tadas Sedekerskis', 'Ignas Brazdeikis', 'Rokas Jokubaitis', 'Jonas Valanciunas']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,/es/basketballworldcup/2023/game/2708/Lituania-México,México,"['Fabián Jaimes', 'Paul Stoll', 'Pako Cruz', 'Gabriel Girón', 'Joshua Ibarra']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,/es/basketballworldcup/2023/game/2708/France-Latvia,Francia,"['Nicolas Batum', 'Guerschon Yabusele', 'Evan Fournier', 'Nando De Colo', 'Rudy Gobert']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,/es/basketballworldcup/2023/game/2708/France-Latvia,Letonia,"['Rodions Kurucs', 'Dairis Bertāns', 'Rolands Šmits', 'Andrejs Gražulis', 'Artūrs Žagars']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,/es/basketballworldcup/2023/game/2808/China-South-Sudan,China,"['Kaier Li', 'Rui Zhao', 'Peng Zhou', 'Qi Zhou', 'Zhenlin Zhang']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,/es/basketballworldcup/2023/game/2808/China-South-Sudan,Sudán del Sur,"['Nuni Omot', 'Carlik Jones', 'Kuany Ngor Kuany', 'Marial Shayok', 'Wenyen Gabriel']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,/es/basketballworldcup/2023/game/2808/Venezuela-Cape-Verde,Venezuela,"['Garly Sojo', 'Pedro Chourio', 'Windi Graterol', 'Heissler Guillent', 'Nestor Colmenares']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
